"No","Team Name","Team","Baker","Games","Avg","Diff"
"1","Wisc.-Madison","3928","2481","8.2","781.585","0"
"2","Viterbo University","3873","2424","8.2","767.927","-112"
"3","Wisc.-Oshkosh","3642","2413","8.2","738.415","-354"
"4","Rockford University","3726","2325","8.2","737.927","-358"
"5","Marian University (WI)","3631","2332","8.2","727.195","-446"
"6","Iowa ,University Of","3263","2184","8.2","664.268","-962"
"7","Rock Valley College","3007","1789","7.2","666.111","-1613"
"8","Wisc.-Eau Claire","2586","2089","7.2","649.306","-1734"
"9","College of Lake County","2623","1544","7.2","578.75","-2242"
