"No","Team Name","Team","Baker","Games","Avg","Diff"
"1","Wartburg College","4444","2692","8.2","870.244","0"
"2","Wisc.-Madison","4407","2698","8.2","866.463","-31"
"3","Viterbo University","4206","2868","8.2","862.683","-62"
"4","Wisc.-Eau Claire","4081","2730","8.2","830.61","-325"
"5","Wisc.-Oshkosh","2372","1432","6.2","613.548","-3332"
