"No","Team Name","Team","Baker","Games","Avg","Diff"
"1","Wisc.-Madison","4122","2540","8.2","812.439","0"
"2","Viterbo University","4054","2553","8.2","805.732","-55"
"3","Wisc.-Oshkosh","3833","2531","8.2","776.098","-298"
"4","Marian University (WI)","3910","2397","8.2","769.146","-355"
"5","Rockford University","3930","2221","8.2","750.122","-511"
"6","Wisc.-Eau Claire","3507","2177","8.2","693.171","-978"
"7","Iowa ,University Of","3413","2116","8.2","674.268","-1133"
"8","Edgewood University","2928","1883","8.2","586.707","-1851"
